epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,90734.4,1.67502,2.08847,0.77768,0.94333,0.50276,0.03067,0.12738,0.07311,0.50322,0.03032,0.12486,0.06481,1.6478,1.92843,0.78915,0.92535,0.0009308,0.0009308,0.0009308
110,91826.7,1.66428,2.08213,0.77016,0.93603,0.55965,0.03015,0.12707,0.07781,0.54968,0.02946,0.12354,0.06332,1.6423,1.87584,0.76987,0.92233,0.0009209,0.0009209,0.0009209
111,93005.5,1.64728,2.04605,0.76887,0.94316,0.58939,0.04765,0.13669,0.08195,0.57193,0.04575,0.1306,0.06832,1.6366,1.87824,0.77009,0.92313,0.000911,0.000911,0.000911
112,94120,1.68521,2.12906,0.78728,0.9298,0.5191,0.0305,0.12535,0.07438,0.55581,0.02928,0.11523,0.06146,1.67337,1.89598,0.8013,0.92811,0.0009011,0.0009011,0.0009011
113,95134.2,1.63956,2.07944,0.77121,0.93446,0.54678,0.03084,0.12748,0.07676,0.51443,0.02998,0.12214,0.06264,1.62493,1.85327,0.77286,0.9193,0.0008912,0.0008912,0.0008912
114,95975.6,1.64153,2.05501,0.76209,0.93251,0.65097,0.05354,0.14945,0.08726,0.63196,0.05268,0.147,0.07564,1.59744,1.86048,0.77612,0.91856,0.0008813,0.0008813,0.0008813
115,97127,1.64961,2.07792,0.76407,0.94218,0.39187,0.02963,0.11957,0.06797,0.36197,0.02812,0.11228,0.04974,1.90809,2.17516,0.92718,0.96061,0.0008714,0.0008714,0.0008714
116,98147.3,1.63216,2.06032,0.76623,0.93024,0.70149,0.03015,0.1266,0.06928,0.55279,0.03067,0.12677,0.06693,1.61908,1.86763,0.78734,0.91957,0.0008615,0.0008615,0.0008615
117,99188.7,1.6632,2.10781,0.77782,0.93651,0.54547,0.02998,0.12463,0.06834,0.54547,0.02998,0.1241,0.07116,1.61596,1.87382,0.80314,0.92215,0.0008516,0.0008516,0.0008516
118,100206,1.6658,2.07707,0.76928,0.93206,0.53445,0.02998,0.12447,0.07366,0.54926,0.0298,0.12246,0.06691,1.62017,1.8853,0.79448,0.92122,0.0008417,0.0008417,0.0008417
119,101281,1.64068,2.06541,0.76812,0.93882,0.59449,0.03899,0.12783,0.07377,0.52595,0.0376,0.12295,0.06673,1.6081,1.88165,0.79187,0.91844,0.0008318,0.0008318,0.0008318
120,102277,1.6537,2.06483,0.76587,0.93773,0.54559,0.03067,0.12738,0.07464,0.53635,0.03015,0.12572,0.07061,1.60145,1.85444,0.77381,0.91804,0.0008219,0.0008219,0.0008219
121,103340,1.68033,2.10136,0.78319,0.93349,0.5327,0.03032,0.12736,0.07743,0.50666,0.02946,0.12187,0.05914,1.68047,1.88262,0.79184,0.92787,0.000812,0.000812,0.000812
122,104392,1.67957,2.11638,0.79334,0.93696,0.55156,0.03968,0.13374,0.07498,0.52748,0.03795,0.1276,0.06389,1.6103,1.87327,0.7951,0.91719,0.0008021,0.0008021,0.0008021
123,105507,1.67204,2.08185,0.78246,0.92705,0.44505,0.04003,0.1291,0.07807,0.44441,0.03812,0.12136,0.05755,1.72078,1.93285,0.82327,0.93326,0.0007922,0.0007922,0.0007922
124,106447,1.64734,2.06746,0.76708,0.93795,0.64541,0.05441,0.15221,0.08793,0.64019,0.05354,0.15073,0.08229,1.61449,1.86453,0.77589,0.91982,0.0007823,0.0007823,0.0007823
