epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,4879.18,1.63265,1.94426,0.75816,0.91001,0.85542,0.87299,0.90033,0.46063,0.82623,0.84248,0.86116,0.32907,1.67622,1.82181,0.76226,0.92201,0.0010595,0.0010595,0.0010595
97,4928.63,1.62472,1.94362,0.76203,0.90986,0.82746,0.80377,0.84391,0.40936,0.78301,0.75618,0.78085,0.27171,1.79815,1.94017,0.83985,0.94207,0.0010496,0.0010496,0.0010496
98,4978.33,1.65923,2.00086,0.775,0.91426,0.87868,0.88943,0.92409,0.49071,0.85561,0.8644,0.89624,0.35026,1.62128,1.79816,0.74937,0.90811,0.0010397,0.0010397,0.0010397
99,5030.41,1.62608,1.95678,0.75984,0.90899,0.78634,0.80135,0.80179,0.36145,0.72962,0.70773,0.69778,0.23187,1.84003,1.99317,0.85766,0.95475,0.0010298,0.0010298,0.0010298
100,5083.71,1.61837,1.9341,0.75463,0.91197,0.88765,0.90502,0.93974,0.49644,0.85896,0.86866,0.89847,0.35014,1.60915,1.794,0.75103,0.90586,0.0010199,0.0010199,0.0010199
101,5135.85,1.64979,1.97428,0.77589,0.91874,0.87274,0.88294,0.91531,0.47755,0.83557,0.84271,0.86381,0.33364,1.64864,1.84498,0.76878,0.9121,0.00101,0.00101,0.00101
102,5187.62,1.65243,1.98671,0.79159,0.911,0.88131,0.90967,0.93856,0.50525,0.85622,0.88107,0.90301,0.36067,1.58438,1.73667,0.74286,0.89947,0.0010001,0.0010001,0.0010001
103,5241.82,1.63577,1.95551,0.77815,0.91416,0.87978,0.90037,0.92639,0.47898,0.82433,0.83596,0.8607,0.32083,1.63938,1.79606,0.76677,0.90859,0.0009902,0.0009902,0.0009902
104,5293.44,1.5841,1.88395,0.75271,0.90405,0.85618,0.8633,0.89746,0.4512,0.83994,0.82541,0.85871,0.31929,1.64987,1.83024,0.78868,0.91501,0.0009803,0.0009803,0.0009803
105,5342.51,1.60075,1.9104,0.74632,0.90742,0.85969,0.86726,0.899,0.43906,0.83644,0.83198,0.85496,0.3289,1.64088,1.81203,0.77652,0.91257,0.0009704,0.0009704,0.0009704
106,5394.07,1.5837,1.88745,0.74792,0.89579,0.88847,0.90011,0.93689,0.47662,0.84466,0.84582,0.87349,0.32253,1.61251,1.77719,0.73814,0.90672,0.0009605,0.0009605,0.0009605
107,5444.86,1.62586,1.9271,0.75785,0.9132,0.89001,0.88908,0.9353,0.45183,0.84503,0.84357,0.86835,0.32151,1.68899,1.87509,0.77932,0.92196,0.0009506,0.0009506,0.0009506
108,5494.8,1.62217,1.93115,0.76658,0.90974,0.83412,0.85014,0.87981,0.43599,0.81159,0.80758,0.83993,0.29936,1.70209,1.87352,0.80506,0.92371,0.0009407,0.0009407,0.0009407
109,5544.3,1.6499,1.96595,0.77134,0.91449,0.87342,0.90414,0.92415,0.47458,0.83725,0.86436,0.87448,0.31779,1.63309,1.81687,0.74453,0.91167,0.0009308,0.0009308,0.0009308
110,5593.65,1.60437,1.91234,0.74913,0.90152,0.86762,0.88799,0.91681,0.48031,0.85035,0.8535,0.88775,0.34795,1.64819,1.82945,0.75606,0.9147,0.0009209,0.0009209,0.0009209
111,5642.56,1.58457,1.897,0.74168,0.90652,0.87834,0.88451,0.93036,0.46734,0.84862,0.84005,0.87823,0.34124,1.62213,1.77728,0.7817,0.9046,0.000911,0.000911,0.000911
112,5691.89,1.59079,1.85983,0.7322,0.90226,0.87651,0.90765,0.93488,0.47984,0.83196,0.85188,0.8766,0.34694,1.62791,1.76684,0.74923,0.90901,0.0009011,0.0009011,0.0009011
113,5740.57,1.55588,1.84932,0.72901,0.90434,0.88792,0.89656,0.93992,0.49684,0.84988,0.85724,0.8904,0.35488,1.58425,1.79208,0.73871,0.90324,0.0008912,0.0008912,0.0008912
114,5790.12,1.56058,1.85904,0.73524,0.9044,0.87873,0.90402,0.93648,0.48205,0.85423,0.86832,0.89913,0.37556,1.63309,1.84004,0.74861,0.91117,0.0008813,0.0008813,0.0008813
115,5838.04,1.58989,1.86724,0.74764,0.90681,0.8591,0.86503,0.90029,0.46708,0.81764,0.82084,0.84835,0.33036,1.66812,1.90849,0.78742,0.92219,0.0008714,0.0008714,0.0008714
116,5888.6,1.59959,1.86382,0.74493,0.90628,0.87627,0.905,0.93506,0.47016,0.84128,0.85114,0.87593,0.31623,1.63744,1.7824,0.74969,0.90971,0.0008615,0.0008615,0.0008615
117,5936.51,1.58534,1.87563,0.75177,0.90808,0.87256,0.91037,0.93409,0.50104,0.85415,0.8716,0.89708,0.36309,1.6225,1.77562,0.74067,0.90694,0.0008516,0.0008516,0.0008516
118,5986.76,1.55113,1.83797,0.73031,0.89325,0.88283,0.90171,0.93989,0.48993,0.83736,0.84132,0.87037,0.31876,1.6034,1.76014,0.74953,0.90326,0.0008417,0.0008417,0.0008417
119,6035.84,1.5666,1.85968,0.72229,0.90159,0.88558,0.905,0.9387,0.47828,0.84946,0.85395,0.88261,0.33602,1.63839,1.7612,0.76006,0.90822,0.0008318,0.0008318,0.0008318
120,6087.37,1.5608,1.83782,0.73398,0.89797,0.89289,0.90877,0.94611,0.51306,0.85725,0.86354,0.8955,0.36827,1.59439,1.76403,0.73483,0.90138,0.0008219,0.0008219,0.0008219
121,6139.87,1.56974,1.87209,0.73359,0.90556,0.89046,0.91009,0.94453,0.49522,0.86237,0.85765,0.889,0.34035,1.63333,1.77868,0.74025,0.90666,0.000812,0.000812,0.000812
122,6188.86,1.55519,1.85933,0.71377,0.89799,0.88355,0.9046,0.93891,0.50392,0.85283,0.86018,0.88993,0.35262,1.57697,1.75391,0.73963,0.89977,0.0008021,0.0008021,0.0008021
123,6237.46,1.54853,1.83557,0.72467,0.89381,0.88709,0.90816,0.94155,0.49047,0.8431,0.85915,0.88257,0.33792,1.64634,1.7992,0.74963,0.91175,0.0007922,0.0007922,0.0007922
124,6288.57,1.56467,1.8464,0.7219,0.90253,0.88007,0.91054,0.94275,0.48,0.83786,0.84669,0.87246,0.31854,1.61591,1.77211,0.75056,0.90263,0.0007823,0.0007823,0.0007823
